postal_code,centroid_lat,centroid_lng
03738,38.736680315,0.19804500000004
03739,38.75791,0.15489627000005
03740,38.76953,0.067058175000057
03749,38.79862,0.085054186000036
03750,38.79297,0.033041789000038
03759,38.79154,-0.025216796999928
03760,38.82689,0.02248137600003
03769,38.825125,-0.041591151999967
03770,38.850788438,0.00020500000005086
03778,38.8229,-0.0054629689999501
03779,38.865525,0.0033586100000207
03780,38.842335,-0.10140114099994
03786,38.860305,-0.17512951799995
03788,38.812445,-0.24421747899993
03789,38.80212,-0.16450767799995
03790,38.77926,-0.062204207999969
03791,38.771915,-0.13574681099993
03792,38.748543707,-0.075064999999938
03793,38.735955,-0.18366085899993
03794,38.74466,-0.11644553199994
03795,38.806517513,-0.061469999999929
03801,38.68442,-0.45785791099996
03802,38.69351,-0.48691771999995
03803,38.717776895,-0.50313999999997
03804,38.70939,-0.46713084199996
03810,38.707405,-0.39501196999993
03811,38.718905,-0.33690967099994
03812,38.74673,-0.33944726299995
03813,38.746166559,-0.25063499999993
03814,38.677413626,-0.33353999999997
03815,38.657144114,-0.37705499999993
03816,38.655980166,-0.41109499999993
03819,38.673815,-0.54579469899994
03820,38.73058,-0.44748054599995
03827,38.76835,-0.37218839999997
03828,38.790775,-0.33541452099996
03829,38.771365,-0.42429411199993
03830,38.77791,-0.43703444099998
03837,38.7829,-0.50861552499993
03838,38.77979,-0.56412694199997
03839,38.792875,-0.44531456699997
03840,38.816095,-0.41167692099998
03841,38.79582,-0.40161311899993
03850,38.827725,-0.36631905099995
03860,38.8481,-0.31147218799993
03870,38.713878463,-0.43109999999996
04001,36.837571079,-2.4643199999999
04002,36.840265,-2.477258681
04003,36.845206663,-2.4649649999999
04004,36.838316987,-2.4605749999999
04005,36.842818349,-2.456135
04006,36.84033,-2.4475679349999
04007,36.82977,-2.442208702
04008,36.863565,-2.5018863189999
04009,36.859685,-2.4426011319999
04100,36.959945,-2.23964849
04110,36.955320088,-2.14354
04113,36.882841054,-2.154233
04114,36.986505042,-2.088275
04115,36.854925,-2.0661667969999
04116,36.903435,-2.041000937
04117,36.830975,-2.169358551
04118,36.781965,-2.075822167
04119,36.991335,-2.230788837
04120,36.85145,-2.4008947749999
04130,36.919349464,-2.33674
04131,36.835605,-2.30201619
04140,36.983903712,-1.9069099999999
04149,36.985202226,-1.9549499999999
04150,36.766915,-2.223703638
04151,36.825408656,-2.233605
04160,36.906008717,-2.28914
04200,37.06983,-2.353260662
04210,37.073370611,-2.20564
04211,37.032779526,-2.25719
04212,37.195995,-2.446752795
04213,37.201035,-2.3279315939999
04230,36.88385,-2.4671100099999
04240,36.89645,-2.3997580239999
04250,36.924621754,-2.4031199999999
04259,36.951655,-2.400366436
04260,36.971149277,-2.4372499999999
04270,37.09857,-2.1538026229999
04271,37.194335,-2.086204621
04274,37.16916,-2.1779828259999
04275,37.236895,-2.323541646
04276,37.204832973,-2.226465
04277,37.057218368,-2.051815
04278,37.137385,-2.094345549
04279,37.124369962,-2.134155
04280,37.16130775,-1.9309949999999
04288,37.16656,-1.9939234359999
04289,37.109174641,-2.0292049999999
04400,36.952206173,-2.57461
04409,36.947967943,-2.628345
04410,36.9179,-2.4722452469999
04420,37.003463531,-2.5335049999999
04430,36.948207726,-2.69082
04431,36.965282096,-2.651895
04440,37.006931635,-2.693865
04450,36.974472634,-2.7378899999999
04458,36.99829126,-2.7987249999999
04459,37.059215,-2.7591240319999
04460,36.973665956,-2.862005
04470,37.023892697,-2.903295
04479,37.046649681,-2.97225
04480,36.957062153,-2.969505
04500,37.198045647,-2.8622599999999
04510,37.160818055,-2.7651799999999
04520,37.137815,-2.7917596579999
04530,37.12803,-2.7225803699999
04531,37.035126232,-2.614315
04532,37.199502623,-2.7172649999999
04533,37.114589575,-2.832955
04540,37.104695,-2.667528768
04549,37.163765,-2.6300994649999
04550,37.09318,-2.527910678
04558,37.07843,-2.5958781539999
04559,37.15314,-2.5291148489999
04560,36.915335,-2.53501711
04567,36.994185,-2.5670459949999
04568,37.03073,-2.569945805
04569,36.928285,-2.6827828569999
04600,37.386388773,-1.94587
04610,37.30203,-1.912688622
04616,37.27503,-1.761149073
04617,37.24616405,-1.7971299999999
04618,37.296567244,-1.82809
04619,37.314249467,-1.757355
04620,37.229373073,-1.8716899999999
04621,37.222156877,-1.8198399999999
04628,37.21660992,-1.9336749999999
04629,37.264115,-1.978100739
04630,37.187812827,-1.830435
04638,37.117115241,-1.8693299999999
04639,37.117835,-1.942687657
04640,37.420115,-1.7572903069999
04647,37.389045,-1.792663529
04648,37.383847081,-1.688305
04649,37.40007,-1.7503502079999
04650,37.32045508,-2.037885
04660,37.339871087,-2.0932799999999
04661,37.39349311,-2.0441499999999
04662,37.33967,-1.9687432269999
04690,37.455692679,-1.85095
04691,37.480373907,-1.9252999999999
04692,37.4471,-2.0329746699999
04693,37.480182868,-1.9940599999999
04694,37.400755,-1.9149768029999
04700,36.774696007,-2.8069649999999
04710,36.78758,-2.748074596
04711,36.7114205,-2.7823856049999
04712,36.759557698,-2.869975
04713,36.77261,-2.931931612
04715,36.725575101,-2.8398549999999
04716,36.748045,-2.744828664
04717,36.71084,-2.7077118359999
04720,36.8271745,-2.5801449429999
04721,36.813136,-2.625332
04727,36.842065,-2.6351790849999
04728,36.87182,-2.7007076539999
04729,36.86956,-2.5972778139999
04738,36.793232904,-2.674225
04740,36.762148074,-2.61639
04741,36.768391042,-2.64739
04743,36.731142522,-2.649085
04745,36.759126734,-2.6867399999999
04746,36.796435,-2.697081442
04750,36.84995,-2.818930843
04760,36.878135,-2.916935555
04768,36.9215,-3.009453069
04769,36.842325499,-2.987025
04770,36.781545,-3.0705938999999
04778,36.75766,-3.051613679
04779,36.7561135,-2.9523170479999
04800,37.37791,-2.1609284589999
04810,37.448085,-2.284481781
